hid,wp,age,gender,marital_status,employment,driving_licence,age_discrete,htype,hsize,nbcars,nbcars_agg,role
126792,0.3062690305,67,2,2,4,1,6,210,2,1,1,1
454551,0.9181110415,49,2,2,1,1,5,220,4,1,1,2
326567,2.7703303674,47,2,4,1,1,5,10,1,1,1,1
247356,1.3260616296,91,1,3,4,1,6,10,1,1,1,1
317048,1.4821373434,54,2,2,1,1,5,210,2,1,1,1
431624,0.6051139093,8,1,1,5,2,1,220,4,2,2,4
426571,1.4493909515,66,2,2,4,1,6,210,2,2,2,2
280735,1.1856590582,25,2,1,1,1,4,220,4,1,1,3
281538,1.7145144486,59,2,4,1,1,5,10,1,1,1,1
273397,1.7341718728,62,2,2,2,1,5,10,1,1,1,1
115257,1.0290377731,32,2,2,2,1,4,30,8,3,3,4
147805,1.6478737301,39,1,1,1,1,4,10,1,1,1,1
350428,1.8934031857,9,1,1,5,2,1,220,5,1,1,5
424216,0.3594355127,11,1,1,5,2,1,220,5,1,1,4
277559,2.2873186338,38,1,1,1,1,4,10,1,1,1,1
274692,0.712534739,65,1,2,1,1,6,210,2,1,1,1
359227,1.2964381334,51,1,2,1,2,5,210,2,0,0,2
146713,2.42197129,30,1,1,1,1,4,30,3,1,1,1
423005,1.9684438279,49,1,1,1,1,5,220,4,2,2,1
138552,1.9587114278,91,1,1,4,2,6,10,1,0,0,1
152056,0.5042824758,82,1,2,4,1,6,210,2,1,1,1
343591,1.0939604993,54,1,4,1,1,5,10,1,1,1,1
268668,1.0030879923,58,2,2,2,1,5,220,4,2,2,2
436519,0.5397743263,13,1,1,5,2,1,220,3,3,3,3
411575,1.4589147776,35,1,2,1,1,4,210,2,1,1,1
120391,1.118131632,25,1,1,1,1,4,230,3,1,1,2
428167,4.6799877813,37,2,2,1,1,4,220,4,1,1,2
428867,0.4102789366,53,2,2,1,1,5,220,3,3,3,2
253951,1.3394926319,29,2,1,1,1,4,220,4,1,1,3
426737,0.5422272969,73,1,1,4,1,6,10,1,2,2,1
438107,0.9165700273,54,1,2,1,1,5,220,3,0,0,1
136062,0.8221603429,37,2,1,1,1,4,210,2,3,3,2
437913,2.3522350637,57,1,4,2,2,5,230,3,0,0,1
316758,2.2705177683,86,2,3,4,1,6,10,1,1,1,1
249514,0.56551436,71,1,2,4,1,6,210,2,1,1,1
333636,1.6901766471,46,2,4,1,1,5,220,3,2,2,1
155769,1.7568249062,60,2,4,2,1,5,10,1,1,1,1
354307,0.8122683817,49,1,2,1,1,5,30,2,2,2,2
272812,0.9174032143,81,2,4,4,2,6,10,1,0,0,1
279485,1.381311013,28,2,4,2,2,4,220,3,0,0,2
269291,2.2741341277,29,2,1,1,1,4,210,2,1,1,2
419429,2.0662772189,34,2,1,1,1,4,220,3,4,4,2
123517,1.5971855299,34,2,1,1,1,4,220,4,2,2,2
278804,0.6797563071,54,2,2,1,2,5,210,2,1,1,2
278383,0.8541406913,9,1,1,5,2,1,220,4,2,2,3
121474,1.8631038506,65,1,2,1,1,6,10,1,0,0,1
346448,0.8120470209,61,2,4,1,2,5,230,2,0,0,1
249843,2.6288337191,29,2,1,1,1,4,210,2,2,2,2
265057,2.1369973478,23,1,1,1,1,3,220,5,1,1,3
143522,4.1818542498,50,1,4,1,1,5,210,2,1,1,1
411077,0.8494800726,60,2,2,1,1,5,220,3,1,1,2
442557,0.778604745,57,1,4,2,1,5,10,1,0,0,1
314668,1.1419271369,84,1,2,4,2,6,210,2,1,1,1
344566,1.4347030313,84,2,3,4,2,6,10,1,0,0,1
416766,3.0915140603,25,2,1,1,1,4,210,2,2,2,2
240433,0.6978939368,14,2,1,5,2,1,220,4,2,2,4
144157,4.1504479717,37,2,1,1,1,4,210,2,1,1,1
114384,2.1856066252,25,1,1,1,2,4,30,2,0,0,1
272466,2.5319323724,41,1,1,1,1,4,10,1,1,1,1
431356,1.4237133007,33,1,1,1,1,4,30,2,1,1,1
420354,1.5070794388,9,2,1,5,2,1,220,5,1,1,4
412348,1.6443492612,29,1,1,1,1,4,10,1,1,1,1
281862,1.8629920581,62,1,4,1,1,5,10,1,1,1,1
417171,2.7114555617,69,1,2,4,1,6,210,2,0,0,1
144848,1.9519476785,61,1,2,1,1,5,10,1,1,1,1
318416,1.5070666188,63,2,3,1,1,5,10,1,0,0,1
424405,0.7120229484,25,2,1,1,2,4,230,3,2,2,3
349433,1.2173429604,54,1,2,1,1,5,210,2,1,1,2
269212,1.4895142937,10,1,1,5,2,1,220,4,1,1,4
451266,2.6570606952,27,2,1,1,1,4,230,2,2,2,1
281377,1.1263289277,56,2,2,1,1,5,210,2,1,1,2
268494,2.1862349005,29,2,2,1,1,4,210,2,1,1,1
413679,2.2640218581,63,2,4,1,1,5,10,1,2,2,1
282618,0.6865792177,7,1,1,5,2,1,220,4,1,1,4
328987,1.3456243895,49,2,2,1,1,5,220,4,2,2,2
286634,2.3250622836,27,1,1,1,1,4,30,2,2,2,2
338903,1.6411403135,13,2,1,5,2,1,230,3,1,1,2
438159,1.927607428,41,2,2,1,1,4,220,4,2,2,2
344291,0.4440241393,75,1,2,4,1,6,210,2,2,2,1
115827,4.9702038141,25,1,1,3,1,4,30,2,0,0,2
449271,2.0976214643,41,2,1,1,1,4,220,4,1,1,1
286826,1.6361292134,78,2,3,4,2,6,10,1,0,0,1
357035,1.9222603917,26,2,1,1,1,4,10,1,0,0,1
313074,3.9920065465,28,2,4,1,1,4,10,1,0,0,1
332163,0.5526983347,83,1,2,4,1,6,210,2,1,1,2
151653,3.8201331591,29,1,1,1,1,4,210,2,2,2,1
416533,0.7103565158,61,2,3,1,2,5,10,1,0,0,1
340402,0.715453323,67,2,2,1,1,6,220,3,2,2,1
134552,0.9147771783,69,2,2,4,1,6,210,2,2,2,1
341037,1.1587049832,54,2,4,1,1,5,210,2,1,1,2
319896,0.9985589198,54,2,4,1,1,5,210,2,2,2,1
332078,1.3490299814,43,2,2,1,1,4,210,2,2,2,1
314145,1.4989797527,72,1,1,4,1,6,10,1,1,1,1
243258,0.6040370484,84,1,2,4,2,6,210,2,0,0,1
330169,3.7748587706,22,1,1,1,1,3,220,6,5,5,6
319078,1.1800541573,8,1,1,5,2,1,220,4,1,1,4
123598,2.0708592586,52,2,1,1,1,5,10,1,0,0,1
440275,0.6679256171,80,2,2,4,1,6,210,2,1,1,1
113094,0.7011797408,14,1,1,5,2,1,220,4,0,0,4
242197,1.5707021161,49,2,2,1,1,5,220,3,3,3,2
355937,1.2161674788,26,1,1,1,2,4,10,1,0,0,1
158793,2.1154992347,53,1,3,1,1,5,230,2,1,1,1
253943,0.9772063418,49,2,2,1,1,5,220,4,1,1,2
423264,0.3944237568,50,2,2,1,1,5,10,1,0,0,1
414085,2.4441595103,33,1,1,1,1,4,10,1,1,1,1
418372,0.6657510338,73,1,2,4,1,6,210,2,1,1,1
273091,0.7573007842,12,1,1,5,2,1,220,4,1,1,3
273259,2.2152084549,48,1,4,1,1,5,10,1,1,1,1
116523,1.8550811827,43,2,1,1,1,4,10,1,0,0,1
317707,2.8385341157,33,1,1,1,1,4,10,1,1,1,1
268905,0.3671388373,22,1,1,3,1,3,220,5,3,3,3
354898,0.9233235889,91,1,3,4,2,6,10,1,0,0,1
328574,1.0331537973,54,1,2,1,1,5,210,2,2,2,2
246985,0.6931477225,58,1,2,1,1,5,210,2,2,2,1
453688,0.8101405109,58,2,2,2,1,5,220,3,1,1,1
443807,1.9340108513,9,1,1,5,2,1,30,5,3,3,4
332262,0.6320914731,91,2,3,4,2,6,30,2,0,0,1
254485,0.5045610698,85,2,3,4,1,6,10,1,1,1,1
450052,1.1627954045,77,1,2,4,1,6,210,2,1,1,2
319415,1.9259298757,45,2,2,2,1,5,220,3,2,2,1
244167,0.5480240388,56,1,2,1,1,5,220,4,1,1,1
435287,1.3426759033,49,2,2,1,1,5,220,4,2,2,2
150793,0.4527554767,54,1,2,2,1,5,220,4,1,1,1
